
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING
2010-06-26,Chicago,0,0,0,3,0,0,0,281,3,278
2010-06-26,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-26,Lisbon,0,0,0,4,0,0,0,58,4,54
2010-06-26,London,0,0,0,10,0,0,0,762,10,752
2010-06-26,Moscow,0,0,0,37,0,0,0,472,37,441
2010-06-26,Ny,0,0,0,6,0,0,0,296,6,290
2010-06-26,Saint_petersburg,0,0,0,25,0,0,0,301,25,272
2010-06-26,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-26,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-27,Almaty,0,0,0,0,0,0,0,133,0,132
2010-06-27,Barcelona,0,0,0,0,0,0,0,120,0,120
2010-06-27,Chicago,0,0,0,2,0,0,0,283,2,281
2010-06-27,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-27,Lisbon,0,0,0,0,0,0,0,58,0,58
2010-06-27,London,0,0,0,0,0,0,0,762,0,762
2010-06-27,Moscow,0,0,0,18,0,0,0,490,18,478
2010-06-27,Ny,0,0,0,0,0,0,0,296,0,296
2010-06-27,Saint_petersburg,0,0,0,21,0,0,0,322,21,297
2010-06-27,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-27,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-28,Almaty,0,0,0,0,0,0,0,133,0,132
2010-06-28,Barcelona,0,0,0,0,0,0,0,120,0,120
2010-06-28,Chicago,0,0,0,4,0,0,0,287,4,283
2010-06-28,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-28,Lisbon,0,0,0,0,0,0,0,58,0,58
2010-06-28,London,0,0,0,1,0,0,0,763,1,762
2010-06-28,Moscow,0,0,0,15,0,0,0,507,15,496
2010-06-28,Ny,0,0,0,0,0,0,0,296,0,296
2010-06-28,Saint_petersburg,0,0,0,21,0,0,0,341,21,318
2010-06-28,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-28,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-29,Almaty,0,0,0,0,0,0,0,133,0,132
2010-06-29,Barcelona,0,0,0,3,0,0,0,123,3,120
2010-06-29,Chicago,0,0,0,3,0,0,0,290,3,287
2010-06-29,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-29,Lisbon,0,0,0,0,0,0,0,58,0,58
2010-06-29,London,0,0,0,8,0,0,0,771,8,763
2010-06-29,Moscow,0,0,0,24,0,0,0,529,24,511
2010-06-29,Ny,0,0,0,1,0,0,0,297,1,296
2010-06-29,Saint_petersburg,0,0,0,22,0,0,0,365,22,339
2010-06-29,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-29,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-30,Almaty,0,0,0,0,0,0,0,133,0,132
2010-06-30,Barcelona,0,0,0,24,0,0,0,147,24,123
2010-06-30,Chicago,0,0,0,2,0,0,0,292,2,290
